Relatório de termos de pesquisa
Todo o período
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Campanha,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Tipo de campanha,Taxa de conv.,Conversões,Custo / conv.
danfe fsist,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
sieg download,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
tabela cclasstrib excel,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,4,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
kpdf view download,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar arquivos xml,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
site nfs,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
impressão nf,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar xml por lote,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
emissornacional,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
portal nacional contribuinte,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
download de nfs,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,2,1,"200,00%",BRL,"4,39","8,78",Pesquisa,"0,00%","0,00","0,00"
visualizador xml gratuito,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
download nf,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,13,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
nfse download helper,Correspondência de frase,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
consultar notas fiscais emitidas para um cnpj grátis,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,15,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
tirar xml,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,1,"100,00%",BRL,"0,85","0,85",Pesquisa,"0,00%","0,00","0,00"
meu danfe,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
exemplo de xml com ibs e cbs,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
fsist download xml,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
como baixar xml em lote,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
buscador xml,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
safe nota fiscal,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
busca xml,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
download xml file,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar arquivos xml,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar xml lote,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,4,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar xmls em lote,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
modelo de nota fiscal word,Correspondência ampla,Excluído,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,1,"100,00%",BRL,"1,77","1,77",Pesquisa,"0,00%","0,00","0,00"
nfs e mei,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
gerenciador de xml gratuito,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
fists xml,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar xmls em lote,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
qive,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,5,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
enotas login,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,1,"100,00%",BRL,"1,67","1,67",Pesquisa,"0,00%","0,00","0,00"
fsister,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
xml sieg,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar varios xml de uma vez,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,9,"11,11%",BRL,"2,09","2,09",Pesquisa,"0,00%","0,00","0,00"
nfs e download helper,Correspondência de frase,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,1,"100,00%",BRL,"0,86","0,86",Pesquisa,"0,00%","0,00","0,00"
xml baixar,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
converter pdf em xml nfse,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
nf,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,2,62,"3,23%",BRL,"1,38","2,75",Pesquisa,"0,00%","0,00","0,00"
download notas,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
nfse rio de janeiro,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,11,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
consulta xml nfse nacional,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
imprimir nota fiscal eletrônica,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
fist pdf,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,2,6,"33,33%",BRL,"1,34","2,68",Pesquisa,"0,00%","0,00","0,00"
nota nacional mei,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
digisan login,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
monitor de notas download,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
fsist gratuito,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,4,"25,00%",BRL,"1,12","1,12",Pesquisa,"0,00%","0,00","0,00"
danfe first,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
emissor nacional,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,6,189,"3,17%",BRL,"0,87","5,19",Pesquisa,"0,00%","0,00","0,00"
baixar nfse nota fiscal de serviço eletrônica emitidas e recebidas chrome web store,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
fsiter,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
programa para baixar xml gratuito,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,6,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar xml com chave,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
nota fiscal excel download grátis,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
nota fiscal mei simplificada,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
xml como gerar,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
sistema para baixar xml,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
como importar xml,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
buscanfe,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
arquivei download,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
nf baixar,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,5,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixar xml em lote grátis,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,14,"7,14%",BRL,"1,20","1,20",Pesquisa,"0,00%","0,00","0,00"
buscador de xml gratuito,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
baixador de xml,Correspondência exata,Adicionado,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,9,"11,11%",BRL,"2,76","2,76",Pesquisa,"0,00%","0,00","0,00"
xml baixar,Correspondência exata (variante aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,3,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
gerenciador de xml gratuito,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,1,3,"33,33%",BRL,"1,09","1,09",Pesquisa,"0,00%","0,00","0,00"
xml baixar gratis,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
xml grátis,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
monitor de notas,Correspondência ampla,Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,1,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
aplicativo para baixar xml,Correspondência de frase (variação aproximada),Nenhum,[Pesquisa] - Leads - Nota Fácil,Grupo de anúncios 1,0,2,"0,00%",BRL,0,"0,00",Pesquisa,"0,00%","0,00","0,00"
